SO2,CO,O3,NO2,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),PM10,month,day,hour,PM10_lag1
0.002,0.3,0.046,0.012,17.0,0.6,2.9,50.0,90,999.6,1009.6,0.0,0.0,0.0,9.0,6,2000,17.8,21.8,22.6,23.0,10.0,10,2,0,31.0
0.003,0.3,0.041,0.014,16.6,0.0,1.8,50.0,90,999.8,1009.8,0.0,0.0,0.0,10.0,4,2000,17.6,21.6,22.4,22.9,9.0,10,2,1,27.0
0.003,0.3,0.039,0.015,16.8,0.0,0.9,20.0,91,1000.0,1010.0,0.0,0.0,0.0,8.0,6,2000,17.9,21.4,22.2,22.8,9.0,10,2,2,28.0
0.003,0.4,0.029,0.016,16.6,0.0,0.9,50.0,93,1000.5,1010.5,0.0,0.0,0.0,10.0,6,1531,17.7,21.3,22.0,22.7,10.0,10,2,3,26.0
0.002,0.4,0.029,0.016,16.7,0.0,1.3,20.0,93,1001.0,1011.0,0.0,0.0,0.0,8.0,2,2000,17.4,21.2,21.9,22.6,11.0,10,2,4,26.0
0.003,0.4,0.025,0.019,16.5,0.0,1.2,20.0,95,1001.2,1011.3,0.0,0.0,0.0,6.0,6,2000,17.6,21.0,21.7,22.5,11.0,10,2,5,22.0
0.003,0.4,0.023,0.022,16.6,0.0,1.3,20.0,94,1001.9,1012.0,0.0,0.0,0.0,7.0,7,2000,18.0,20.9,21.6,22.4,13.0,10,2,6,25.0
0.003,0.4,0.012,0.03,16.9,0.0,0.9,20.0,94,1002.6,1012.7,0.0,0.01,0.0,8.0,8,1913,18.4,20.8,21.5,22.3,14.0,10,2,7,24.0
0.003,0.4,0.015,0.028,17.5,0.0,1.9,50.0,95,1003.3,1013.3,0.0,0.13,0.0,8.0,8,1972,19.5,20.8,21.4,22.2,15.0,10,2,8,23.0
0.003,0.5,0.02,0.028,18.8,0.0,1.9,20.0,91,1003.6,1013.6,0.3,0.8,0.0,8.0,8,2000,23.9,20.8,21.3,22.2,18.0,10,2,9,40.0
0.003,0.4,0.033,0.025,20.9,0.0,0.9,230.0,81,1004.2,1014.1,0.9,1.72,0.0,7.0,7,2000,26.9,21.0,21.3,22.1,24.0,10,2,10,49.0
